date,value
2010-01-31,51
2010-02-28,56
2010-03-31,64
2010-04-30,67
2010-05-31,63
2010-06-30,58
2010-07-31,54
2010-08-31,49
2010-09-30,46
2010-10-31,48
2010-11-30,52
2010-12-31,57
2011-01-31,61
2011-02-28,66
2011-03-31,72
2011-04-30,75
2011-05-31,71
2011-06-30,66
2011-07-31,61
2011-08-31,57
2011-09-30,54
2011-10-31,56
2011-11-30,60
2011-12-31,65
2012-01-31,69
2012-02-29,74
2012-03-31,80
2012-04-30,83
2012-05-31,79
2012-06-30,73
2012-07-31,68
2012-08-31,63
2012-09-30,60
2012-10-31,62
2012-11-30,66
2012-12-31,71
2013-01-31,75
2013-02-28,80
2013-03-31,86
2013-04-30,89
2013-05-31,85
2013-06-30,79
2013-07-31,74
2013-08-31,69
2013-09-30,66
2013-10-31,68
2013-11-30,72
2013-12-31,77
2014-01-31,81
2014-02-28,86
2014-03-31,92
2014-04-30,95
2014-05-31,91
2014-06-30,85
2014-07-31,80
2014-08-31,75
2014-09-30,72
2014-10-31,74
2014-11-30,78
2014-12-31,83
